teff,logg,feh,tv,mass,modelindex,fbol
2600,3,-1,0,0,488,9.413959356549064
2600,3,-1.5,0,0,489,9.413992392341067
2600,3,-2,0,0,490,9.41411215276612
2600,3,-2.5,0,0,491,9.414011267036313
2600,3,-3,0,0,492,9.413839261299417
2600,3,0,1,0,515,9.413982676289265
2600,3,0.25,1,0,516,9.413994905652201
2600,3,-0.25,1,0,517,9.413979340887655
2600,3,0.5,1,0,518,9.414028238432076
2600,3,-0.5,1,0,519,9.413979286145038
2600,3,0.75,1,0,520,9.414056443647395
2600,3,-0.75,1,0,521,9.413977063098757
2600,3,1,1,0,522,9.414081372707557
2600,3,-1,1,0,523,9.413976565312732
2600,3,-1.5,1,0,524,9.414023813635742
2600,3,-2,1,0,525,9.414026346693207
2600,3,-2.5,1,0,526,9.414066232389974
2600,3,-3,1,0,527,9.41389521814393
2600,3,0,2,0,548,9.414037550419197
2600,3,0.25,2,0,549,9.414056570164238
2600,3,-0.25,2,0,550,9.414030466502266
2600,3,0.5,2,0,551,9.414090758121455
2600,3,-0.5,2,0,552,9.414023172519428
2600,3,0.75,2,0,553,9.41413117184618
2600,3,-0.75,2,0,554,9.414024098085571
2600,3,1,2,0,555,9.414165117644
2600,3,-1,2,0,556,9.414028614897983
2600,3,-1.5,2,0,557,9.41406701554568
2600,3,-2,2,0,558,9.413986603991182
2600,3,-2.5,2,0,559,9.414123291041138
2600,3,-3,2,0,560,9.413948086040735
2600,3,-4,2,0,561,9.413757624161422
2600,3,0,5,0,562,9.414126874650826
2600,3.5,0,0,0,581,9.413970894267768
2600,3.5,0.25,0,0,582,9.413974598624396
2600,3.5,-0.25,0,0,583,9.413976959306646
2600,3.5,0.5,0,0,584,9.413981594557876
2600,3.5,-0.5,0,0,585,9.413982988478995
2600,3.5,0.75,0,0,586,9.41400177407543
2600,3.5,-0.75,0,0,587,9.413990483688556
2600,3.5,1,0,0,588,9.414025280215778
2600,3.5,-1,0,0,589,9.414015180664055
2600,3.5,-1.5,0,0,590,9.41387776231532
2600,3.5,-2.5,0,0,591,9.413929135803194
2600,3.5,-3,0,0,592,9.41372196099853
2600,3.5,0,1,0,613,9.413995011976837
2600,3.5,0.25,1,0,614,9.41399196411071
2600,3.5,-0.25,1,0,615,9.413999661335412
2600,3.5,0.5,1,0,616,9.414009422819891
2600,3.5,-0.5,1,0,617,9.41399950191632
2600,3.5,0.75,1,0,618,9.414025942184916
2600,3.5,-0.75,1,0,619,9.41400702859005
2600,3.5,1,1,0,620,9.414063784234465
2600,3.5,-1,1,0,621,9.414033249131695
2600,3.5,-1.5,1,0,622,9.41383406370289
2600,3.5,-2,1,0,623,9.413872072892724
2600,3.5,-2.5,1,0,624,9.413969242042473
2600,3.5,0,2,0,641,9.414039831767159
2600,3.5,0.25,2,0,642,9.414045162774714
2600,3.5,-0.25,2,0,643,9.414039900535185
2600,3.5,0.5,2,0,644,9.414066911742013
2600,3.5,-0.5,2,0,645,9.414050742850986
2600,3.5,0.75,2,0,646,9.414093931155833
2600,3.5,-0.75,2,0,647,9.41406113429074
2600,3.5,1,2,0,648,9.414139443086738
2600,3.5,-1,2,0,649,9.41407583914487
2600,3.5,-1.5,2,0,650,9.413891926353504
2600,3.5,-2,2,0,651,9.413795551421604
2600,3.5,-2.5,2,0,652,9.414044603418864
2600,3.5,0,5,0,653,9.414124578185392
2600,4,0,0,0,670,9.41402708589643
2600,4,0.25,0,0,671,9.414001338629237
2600,4,-0.25,0,0,672,9.414055439725848
2600,4,0.5,0,0,673,9.413994469831385
2600,4,-0.5,0,0,674,9.414102851832174
2600,4,0.75,0,0,675,9.413999241386717
2600,4,-0.75,0,0,676,9.414021795294422
2600,4,1,0,0,677,9.41401116053574
2600,4,-1,0,0,678,9.41388682189056
2600,4,-1.5,0,0,679,9.413822387905759
2600,4,-2,0,0,680,9.414076035641411
2600,4,-2.5,0,0,681,9.41380865238159
2600,4,0,1,0,696,9.414050371337371
2600,4,0.25,1,0,697,9.414026350633875
2600,4,-0.25,1,0,698,9.414084069819653
2600,4,0.5,1,0,699,9.414011297757767
2600,4,-0.5,1,0,700,9.414125477419399
2600,4,0.75,1,0,701,9.414020784667635
2600,4,-0.75,1,0,702,9.41399510792483
2600,4,1,1,0,703,9.414039365729899
2600,4,-2.5,1,0,704,9.413862186243199
2600,4,0,2,0,721,9.414100631815593
2600,4,0.25,2,0,722,9.414090209168698
2600,4,-0.25,2,0,723,9.414131952114351
2600,4,0.5,2,0,724,9.414075020329571
2600,4,-0.5,2,0,725,9.414157030075945
2600,4,0.75,2,0,726,9.414082254482192
2600,4,-0.75,2,0,727,9.414025109814355
2600,4,1,2,0,728,9.414100929261224
2600,4,-2.5,2,0,729,9.413917702881111
2600,4,0,5,0,730,9.414175948589083
2600,4.5,0,0,0,746,9.41387914529779
2600,4.5,0.25,0,0,747,9.414148347077177
2600,4.5,-0.25,0,0,748,9.413911127616705
2600,4.5,0.5,0,0,749,9.414051041593032
2600,4.5,-0.5,0,0,750,9.413925756857005
2600,4.5,0.75,0,0,751,9.4140301338346
2600,4.5,-0.75,0,0,752,9.413937889926645
2600,4.5,1,0,0,753,9.414022321122765
2600,4.5,-1,0,0,754,9.41391767764138
2600,4.5,-2,0,0,755,9.414011407397506
2600,4.5,0,1,0,773,9.413902975394556
2600,4.5,0.25,1,0,774,9.41413384808291
2600,4.5,-0.25,1,0,775,9.413933328578533
2600,4.5,0.5,1,0,776,9.414081187381624
2600,4.5,-0.5,1,0,777,9.413956704721517
2600,4.5,0.75,1,0,778,9.41405360670414
2600,4.5,-0.75,1,0,779,9.41394026136876
2600,4.5,1,1,0,780,9.414045890935093
2600,4.5,-1,1,0,781,9.413921870592148
2600,4.5,-1.5,1,0,782,9.413867869676334
2600,4.5,-2,1,0,783,9.413979094495522
2600,4.5,0,2,0,802,9.413965547152149
2600,4.5,0.25,2,0,803,9.414134108136391
2600,4.5,-0.25,2,0,804,9.41399052773826
2600,4.5,0.5,2,0,805,9.414143192524426
2600,4.5,-0.5,2,0,806,9.414005871651197
2600,4.5,0.75,2,0,807,9.414117869941906
2600,4.5,-0.75,2,0,808,9.41399382953552
2600,4.5,1,2,0,809,9.414105027388707
2600,4.5,-1,2,0,810,9.413971395445168
2600,4.5,-2,2,0,811,9.413858613193593
2600,4.5,0,5,0,812,9.4140596410272
2600,5,0,0,0,832,9.413925730475958
2600,5,0.25,0,0,833,9.413957861918723
2600,5,-0.25,0,0,834,9.413923329462468
2600,5,0.5,0,0,835,9.413915370728837
2600,5,-0.5,0,0,836,9.413916765282712
2600,5,0.75,0,0,837,9.414180767834914
2600,5,-0.75,0,0,838,9.413910754339438
2600,5,1,0,0,839,9.41407319703711
2600,5,-1,0,0,840,9.413896554955848
2600,5,-1.5,0,0,841,9.413743377354635
2600,5,0,1,0,860,9.413940647760688
2600,5,0.25,1,0,861,9.413968967021608
2600,5,-0.25,1,0,862,9.413938137503532
2600,5,0.5,1,0,863,9.413966085236028
2600,5,-0.5,1,0,864,9.41393294206799
2600,5,0.75,1,0,865,9.414174932650097
2600,5,-0.75,1,0,866,9.413927159166699
2600,5,1,1,0,867,9.4140962053626
2600,5,-1,1,0,868,9.413912844021395
2600,5,-1.5,1,0,869,9.413787598907817
2600,5,0,2,0,888,9.41399247350712
2600,5,0.25,2,0,889,9.414019808526644
2600,5,-0.25,2,0,890,9.413995366864837
2600,5,0.5,2,0,891,9.414027098521416
2600,5,-0.5,2,0,892,9.413993151966633
2600,5,0.75,2,0,893,9.414195471551318
2600,5,-0.75,2,0,894,9.413972779022128
2600,5,1,2,0,895,9.414173337799106
2600,5,-1,2,0,896,9.413961898119707
2600,5,-1.5,2,0,897,9.413853630793396
2600,5,-2.5,2,0,898,9.413696564347545
2600,5,0,5,0,899,9.414089358836826
2600,5.5,0,0,0,914,9.413912449315692
2600,5.5,0.25,0,0,915,9.413945430132202
2600,5.5,-0.25,0,0,916,9.41391434873929
2600,5.5,0.5,0,0,917,9.413964458485925
2600,5.5,-0.5,0,0,918,9.413912180125067
2600,5.5,0.75,0,0,919,9.41399233361082
2600,5.5,1,0,0,920,9.414018115521579
2600,5.5,0,1,0,939,9.413938720511982
2600,5.5,0.25,1,0,940,9.413959854201787
2600,5.5,-0.25,1,0,941,9.413940255326594
2600,5.5,0.5,1,0,942,9.413977412407238
2600,5.5,-0.5,1,0,943,9.413919907158842
2600,5.5,0.75,1,0,944,9.413999318847054
2600,5.5,-0.75,1,0,945,9.413911650725378
2600,5.5,1,1,0,946,9.414000144992501
2600,5.5,-1,1,0,947,9.413879607934353
2600,5.5,-2,1,0,948,9.413821930535331
2600,5.5,0,2,0,965,9.41398831873843
2600,5.5,0.25,2,0,966,9.41401632123916
2600,5.5,-0.25,2,0,967,9.413989605587615
2600,5.5,0.5,2,0,968,9.414038146859815
2600,5.5,-0.5,2,0,969,9.413982116152527
2600,5.5,0.75,2,0,970,9.41406650996016
2600,5.5,-0.75,2,0,971,9.413953597157882
2600,5.5,1,2,0,972,9.414070905780802
2600,5.5,-1,2,0,973,9.413932422160823
2600,5.5,-1.5,2,0,974,9.413762315517548
2600,5.5,-2,2,0,975,9.413878413202589
2600,5.5,0,5,0,976,9.414086741409838
2700,3,0,0,0,1001,9.47942951214031
2700,3,0.25,0,0,1002,9.479442562041918
2700,3,-0.25,0,0,1003,9.479430260666335
2700,3,0.5,0,0,1004,9.479459808980842
2700,3,-0.5,0,0,1005,9.479424101207517
2700,3,0.75,0,0,1006,9.479477220643817
2700,3,-0.75,0,0,1007,9.479420554497162
2700,3,1,0,0,1008,9.47949224371871
2700,3,-1,0,0,1009,9.47941528336352
2700,3,-1.5,0,0,1010,9.479422322143956
2700,3,-2,0,0,1011,9.479455243940592
2700,3,-2.5,0,0,1012,9.47940708866931
2700,3,-3,0,0,1013,9.479256681031108
2700,3,-5,0,0,1014,9.479172193287154
2700,3,0,1,0,1039,9.47944330911132
2700,3,0.25,1,0,1040,9.479453867092712
2700,3,-0.25,1,0,1041,9.47943694880567
2700,3,0.5,1,0,1042,9.479471985363778
2700,3,-0.5,1,0,1043,9.479431932998988
2700,3,0.75,1,0,1044,9.479496261825624
2700,3,-0.75,1,0,1045,9.479428063959519
2700,3,1,1,0,1046,9.479512274692048
2700,3,-1,1,0,1047,9.47942092916454
2700,3,-1.5,1,0,1048,9.47943249794491
2700,3,-2,1,0,1049,9.479470726008026
2700,3,-2.5,1,0,1050,9.479428779517589
2700,3,-3,1,0,1051,9.47927908773376
2700,3,-4,1,0,1052,9.479155856694971
2700,3,0,2,0,1078,9.479478083134659
2700,3,0.25,2,0,1079,9.479495238626686
2700,3,-0.25,2,0,1080,9.479466873569649
2700,3,0.5,2,0,1081,9.479519821447363
2700,3,-0.5,2,0,1082,9.479462313612537
2700,3,0.75,2,0,1083,9.479542955721387
2700,3,-0.75,2,0,1084,9.47946050995501
2700,3,1,2,0,1085,9.479565994062183
2700,3,-1,2,0,1086,9.47945405368989
2700,3,-1.5,2,0,1087,9.47945878545026
2700,3,-2,2,0,1088,9.479497740296441
2700,3,-2.5,2,0,1089,9.479475500794454
2700,3,-3,2,0,1090,9.479314297888564
2700,3,-4,2,0,1091,9.47917272024236
2700,3,0,5,0,1092,9.47952740205941
2700,3.5,0,0,0,1116,9.479427886981421
2700,3.5,0.25,0,0,1117,9.479437339355643
2700,3.5,-0.25,0,0,1118,9.479441042165003
2700,3.5,-0.5,0,0,1119,9.479432912794683
2700,3.5,-0.75,0,0,1120,9.479437728476494
2700,3.5,-1,0,0,1121,9.479442068857335
2700,3.5,-1.5,0,0,1122,9.479494441992049
2700,3.5,-2,0,0,1123,9.47950809215862
2700,3.5,-2.5,0,0,1124,9.479341209255248
2700,3.5,-3,0,0,1125,9.479112480242247
2700,3.5,-4,0,0,1126,9.479052529328262
2700,3.5,0,1,0,1150,9.479442672910235
2700,3.5,0.25,1,0,1151,9.47944834993017
2700,3.5,-0.25,1,0,1152,9.479442405960887
2700,3.5,0.5,1,0,1153,9.479459422093464
